NOM_MUN,LAT_DECIMAL,LON_DECIMAL
Abasolo,27.14406442857143,-101.32830369047618
Acuña,29.33135733795014,-101.3449099529086
Allende,28.32425495209581,-100.88431516766467
Arteaga,25.36244318277066,-100.64301838183935
Candela,26.8538812892562,-100.70724204132232
Castaños,26.665330524137932,-101.38800446206896
Cuatro Ciénegas,26.84274045957447,-102.08594544255318
Escobedo,27.30949565079365,-101.32230744444443
Francisco I. Madero,25.900537124352333,-103.25559658031086
Frontera,26.966423647058825,-101.48449870053476
General Cepeda,25.447606529761906,-101.4904272142857
Guerrero,28.292904194312797,-100.44271363033175
Hidalgo,27.840423414893618,-99.98918308510639
Jiménez,29.0796396056338,-100.89248011267605
Juárez,27.58361528205128,-100.64066619230769
Lamadrid,27.088916138888887,-101.8248495
Matamoros,25.5525174,-103.2434740885246
Monclova,26.946926431168833,-101.31468626233766
Morelos,28.383164461538463,-100.91539089349112
Múzquiz,28.056644793055558,-101.64910383888889
Nadadores,27.06720559055118,-101.63068930708661
Nava,28.516893639473686,-100.61179490263159
Ocampo,27.977888032432432,-102.84219361621622
Parras,25.500841593830337,-102.11423227506427
Piedras Negras,28.749125716666665,-100.57807568888889
Progreso,27.458014848101264,-101.07771631012659
Ramos Arizpe,25.722851973737374,-101.0672264989899
Sabinas,27.887337791556728,-101.13249042480211
Sacramento,27.014014303030304,-101.75697772727273
Saltillo,25.22273015775401,-101.13101206684492
San Buenaventura,27.338380586345384,-101.69470823694779
San Juan de Sabinas,27.961781225988698,-101.31435129378532
San Pedro,25.788625716075156,-103.03424002713989
Sierra Mojada,27.581731420689653,-103.65962019310345
Torreón,25.480398495652175,-103.35283146086957
Viesca,25.328448472,-103.18443034399999
Villa Unión,28.214904210526317,-100.78030184962405
Zaragoza,28.710115447565546,-101.13885351310861
